iter	Passed	Remaining
0	60	60592
1	60	30430
2	61	20358
3	61	15334
4	61	12308
5	62	10296
6	62	8858
7	62	7774
8	62	6932
9	63	6270
10	64	5759
11	64	5298
12	64	4907
13	64	4575
14	65	4285
15	65	4032
16	65	3808
17	66	3607
18	66	3427
19	66	3268
20	66	3123
21	67	2993
22	67	2874
23	67	2764
24	68	2671
25	69	2585
26	69	2500
27	69	2419
28	70	2345
29	70	2275
30	70	2208
31	70	2146
32	71	2088
33	71	2034
34	72	1990
35	72	1949
36	73	1909
37	73	1865
38	73	1822
39	74	1782
40	74	1743
41	75	1716
42	75	1681
43	76	1651
44	76	1631
45	77	1602
46	77	1579
47	78	1556
48	78	1530
49	79	1505
50	79	1479
51	79	1455
52	80	1431
53	80	1407
54	80	1385
55	80	1364
56	81	1347
57	81	1329
58	82	1311
59	82	1294
60	83	1278
61	83	1263
62	83	1248
63	84	1234
64	84	1220
65	85	1205
66	85	1190
67	85	1176
68	86	1162
69	86	1148
70	86	1137
71	87	1125
72	87	1113
73	88	1107
74	89	1101
75	90	1098
76	91	1095
77	92	1089
78	92	1079
79	93	1070
80	93	1060
81	93	1050
82	93	1038
83	94	1029
84	94	1022
85	95	1012
86	95	1004
87	96	996
88	96	988
89	96	980
90	97	971
91	97	963
92	98	956
93	98	949
94	98	942
95	99	937
96	99	929
97	100	923
98	100	917
99	101	911
100	101	904
101	102	898
102	102	892
103	103	887
104	103	882
105	103	876
106	104	871
107	105	873
108	106	871
109	107	867
110	107	861
111	107	855
112	108	849
113	108	844
114	109	839
115	109	833
116	109	827
117	109	821
118	110	816
119	110	811
120	111	806
121	111	801
122	111	796
123	112	791
124	112	786
125	112	782
126	112	776
127	113	771
128	113	767
129	113	762
130	114	758
131	114	753
132	114	749
133	115	745
134	115	741
135	116	737
136	116	732
137	116	728
138	116	724
139	117	720
140	117	716
141	117	712
142	118	708
143	118	703
144	118	699
145	118	695
146	119	691
147	119	687
148	119	683
149	120	681
150	120	677
151	120	674
152	121	670
153	121	667
154	121	664
155	122	661
156	122	658
157	122	655
158	123	651
159	123	648
160	123	645
161	124	641
162	124	638
163	124	635
164	124	632
165	125	629
166	125	626
167	125	623
168	126	620
169	126	617
170	126	615
171	127	612
172	127	609
173	127	607
174	128	604
175	128	601
176	128	599
177	129	596
178	129	594
179	129	591
180	130	589
181	130	586
182	130	584
183	131	581
184	131	579
185	131	577
186	132	574
187	132	572
188	132	569
189	133	567
190	133	564
191	133	562
192	133	559
193	134	556
194	134	554
195	134	552
196	135	550
197	135	548
198	135	545
199	136	544
200	136	542
201	136	540
202	137	538
203	137	536
204	137	534
205	138	532
206	138	530
207	138	528
208	139	526
209	139	524
210	139	522
211	140	520
212	140	518
213	140	516
214	141	515
215	141	513
216	141	511
217	142	509
218	142	508
219	142	506
220	143	504
221	143	502
222	143	500
223	144	498
224	144	497
225	144	495
226	144	493
227	145	491
228	145	489
229	145	487
230	145	485
231	146	483
232	146	481
233	146	480
234	146	478
235	147	476
236	147	474
237	147	472
238	147	470
239	148	469
240	148	467
241	148	465
242	148	463
243	149	462
244	149	460
245	149	458
246	150	457
247	150	455
248	150	453
249	150	452
250	151	450
251	151	449
252	151	447
253	151	445
254	152	444
255	152	442
256	152	441
257	152	439
258	153	438
259	153	436
260	153	434
261	153	433
262	154	431
263	154	430
264	154	428
265	155	428
266	155	426
267	155	425
268	155	423
269	156	422
270	156	420
271	156	419
272	156	417
273	157	416
274	157	414
275	157	413
276	157	412
277	158	410
278	158	409
279	158	407
280	158	406
281	159	405
282	159	403
283	159	402
284	159	401
285	160	399
286	160	398
287	160	397
288	160	395
289	161	394
290	161	393
291	161	391
292	161	390
293	162	389
294	162	387
